n_components,cumulative_variance
91,0.5610236246112912
92,0.5637282713916701
93,0.566421528789244
94,0.5690941730425906
95,0.5717608611307008
96,0.57439706954064
97,0.577030848894665
98,0.5796424493347319
99,0.5822224767833105
100,0.5847756586950755
101,0.5873084322328704
102,0.5898160394243979
103,0.5923197722564509
104,0.59480506890017
105,0.5972751919325453
106,0.5997231808380833
107,0.6021547978799241
108,0.6045625107761421
109,0.606959503332936
110,0.6093448582880365
111,0.6117169928205691
112,0.6140455586361405
113,0.6163693035941371
114,0.6186831610622763
115,0.620982761383617
116,0.6232620784918574
117,0.6255319535719304
118,0.6277871392202656
119,0.630030847650885
120,0.6322583880255731
121,0.6344731926691446
122,0.6366759833955081
123,0.6388687051641951
124,0.64104153476522
125,0.6431910944548657
126,0.6453358713135776
127,0.6474711681914525
128,0.6495921756555382
129,0.6517016717733743
130,0.653794226517105
131,0.655874103303672
132,0.6579253339108252
133,0.6599662218180232
134,0.6619988442770309
135,0.6640263738773822
136,0.6660434215382391
137,0.6680586708106853
138,0.6700552730474918
139,0.6720432788383115
140,0.6740211163777459
141,0.6759881070098175
142,0.6779408786317167
143,0.6798926716941422
144,0.6818315978817724
145,0.6837592415775177
146,0.6856797281366012
147,0.6875791197570098
148,0.6894624068991011
149,0.6913427577764552
150,0.6932154998480248
151,0.6950756340766582
152,0.6969310894217619
153,0.6987730357348979
154,0.7006038505266386
155,0.7024254757381713
156,0.7042357921404506
157,0.7060427348083143
158,0.7078431417732558
159,0.7096283832697655
160,0.7113965544977322
161,0.7131625838610957
162,0.7149183985628097
163,0.716670034060762
164,0.7184093898474038
165,0.7201383693140412
166,0.7218518912321078
167,0.72355367017098
168,0.7252536415729004
169,0.7269437493051301
170,0.7286185847144205
171,0.7302896299628046
172,0.7319471350634401
173,0.733602725225302
174,0.7352521531564182
175,0.7368951726249785
176,0.7385285211585264
177,0.7401538327459308
178,0.7417672924122933
179,0.7433762340100482
180,0.744971033586262
181,0.7465499107377461
182,0.7481252549606812
183,0.7496864385710654
184,0.7512457139377091
185,0.7528033469023798
186,0.7543421355146843
187,0.755872006337994
188,0.7574000483418682
189,0.7589111955863468
190,0.76041427049129
191,0.7619095690867734
192,0.763397045337741
193,0.7648781238220418
194,0.7663433389186296
195,0.7678070324925508
196,0.7692698523341354
197,0.7707207413995686
198,0.7721687719264075
199,0.7736034189006319
200,0.7750335914307246
201,0.7764547826965724
202,0.7778727818976735
203,0.7792855727136061
204,0.7806828925956598
205,0.7820747579504894
206,0.783455729382155
207,0.7848291839018143
208,0.7861960734789303
209,0.7875565904260907
210,0.7889132903774229
211,0.7902651179710104
212,0.7916094628341335
213,0.7929451454361242
214,0.7942733720586961
215,0.7956000227555319
216,0.7969243946449355
217,0.7982386951369904
218,0.799545646745403
219,0.8008492644889222
220,0.8021400813902526
221,0.8034292645506096
222,0.8047073492274284
223,0.8059772601646709
224,0.8072418879811524
225,0.8084972100233788
226,0.8097497683120177
227,0.8109873731278736
228,0.8122164299279396
229,0.8134384202451198
230,0.8146539846646865
231,0.8158611066346768
232,0.8170627688591504
233,0.818256250858367
234,0.819446550035642
235,0.8206294913380483
236,0.8218092906221561
237,0.8229833609244483
238,0.8241518427736274
239,0.8253128301402527
240,0.8264634625405354
241,0.8276099084536483
242,0.8287524004470669
243,0.8298908297006582
244,0.8310228021820242
245,0.8321494031848408
246,0.8332752556164805
247,0.8343970725835137
248,0.8355049957136876
249,0.8366097732031931
250,0.8377097928845396
251,0.8387993237961873
252,0.8398835889628858
253,0.8409596732663241
254,0.8420327224227369
255,0.8431032440039793
256,0.8441661056352103
257,0.8452236286618648
258,0.8462802010065607
259,0.8473261461638854
260,0.8483678727140036
261,0.8494027232528512
262,0.8504373265127422
263,0.8514675471897685
264,0.8524887845183642
265,0.8535024817240175
266,0.8545135207186562
267,0.8555144350094538
268,0.8565111739135631
269,0.8575040492393045
270,0.8584866958150905
271,0.8594689385011249
272,0.8604486889204361
273,0.8614193375825445
274,0.8623844271547613
275,0.8633445745589424
276,0.8643038038409584
277,0.8652551366509563
278,0.8662031480573796
279,0.8671469621742358
280,0.8680800570945975
281,0.869008790128027
282,0.869934874442655
283,0.8708580817608107
284,0.871777836740389
285,0.8726949359771844
286,0.8735985981627318
287,0.8744976740637324
288,0.8753907602158673
289,0.8762808250672476
290,0.8771700932818303
291,0.8780552437634112
292,0.8789372035347334
293,0.8798099774955054
294,0.8806792832664843
295,0.8815423876467312
296,0.8824010581633516
297,0.8832561089459386
298,0.8841077700885939
299,0.8849507271141116
300,0.8857893178058499
301,0.8866184168880763
302,0.8874467613465412
303,0.8882679205978088
304,0.8890851866493712
305,0.8898971317465204
306,0.8907022019318922
307,0.8915047320189721
308,0.8923038970938888
309,0.8930954426907417
310,0.8938853910113133
311,0.8946678675562948
312,0.8954445911458793
313,0.8962128894178394
314,0.8969775292790275
315,0.8977397053433739
316,0.8985012246696874
317,0.899256076461887
318,0.900003264462238
319,0.9007468548610543
320,0.9014877212651721
321,0.902226426437654
322,0.9029597394938178
323,0.9036911983473407
324,0.9044171498677485
325,0.9051353464347088
326,0.905851877685626
327,0.9065627419696476
328,0.9072690277691642
329,0.9079720532308807
330,0.90866757558108
331,0.9093619558677384
332,0.9100508991377647
333,0.9107356550578639
334,0.91141765582271
335,0.9120979933261258
336,0.9127723586218035
337,0.9134371302715985
338,0.9140969569849305
339,0.9147533148377671
340,0.9154071121344796
341,0.916053104052763
342,0.9166957519523833
343,0.917335216391579
344,0.9179701167239073
345,0.9185995880305664
346,0.9192263246897832
347,0.919848966882489
