rank,entity,total_mentions,literature,miviludes,interviews
376,mass media,17,17,0,0
377,selfica,17,17,0,0
378,neopagans,17,17,0,0
379,membership,17,17,0,0
380,germany,17,17,0,0
381,unificationist movement,17,17,0,0
382,psychiatrists,17,17,0,0
383,new thought,17,17,0,0
384,kofuku-no-kagaku (institute for research in human happiness),17,17,0,0
385,li hongzhi,17,17,0,0
386,temple,17,17,0,0
387,siddha yoga dham,17,17,0,0
388,shamanistic association,17,17,0,0
389,henry thornton,17,17,0,0
390,sufi cults,17,17,0,0
391,pilgrimage,17,17,0,0
392,ennéagramme,17,0,17,0
393,religious minorities,16,16,0,0
394,china,16,16,0,0
395,young people,16,15,1,0
396,branch davidian,16,16,0,0
397,europe,16,16,0,0
398,rael,16,9,7,0
399,blavatsky,16,16,0,0
400,lucis trust,16,16,0,0
401,al qaeda,16,16,0,0
402,auditory hallucinations,16,16,0,0
403,mother,16,16,0,0
404,sathya sai organisation,16,16,0,0
405,individual,16,16,0,0
406,occult,16,16,0,0
407,yoga,16,16,0,0
408,brazil,16,16,0,0
409,wovenu,16,16,0,0
410,sri aurobindo,16,16,0,0
411,evangelicalism,16,16,0,0
412,australia,16,16,0,0
413,jihad,16,16,0,0
414,alex sanders,16,16,0,0
415,the way,16,16,0,0
416,anticultists,16,16,0,0
417,mainstream churches,16,16,0,0
418,amadu bamba,16,16,0,0
419,satanic ritual abuse,16,16,0,0
420,john- roger,16,16,0,0
421,new life church,16,16,0,0
422,apm,16,16,0,0
423,henry,16,16,0,0
424,cult leaders,15,15,0,0
425,anticult,15,15,0,0
426,pentecostalism,15,15,0,0
427,globalization,15,15,0,0
428,tm,15,15,0,0
429,new movements,15,15,0,0
430,affiliation,15,15,0,0
431,unificationist,15,15,0,0
432,ti and do,15,15,0,0
433,therapist,15,15,0,0
434,hare krishnas,15,14,0,1
435,class,15,15,0,0
436,joseph di mambro,15,15,0,0
437,disciples,15,14,0,1
438,denomination,15,15,0,0
439,elan vital,15,15,0,0
440,rudolf steiner,15,15,0,0
441,seicho-no-ie,15,15,0,0
442,alpha course,15,15,0,0
