cluster_id,rank,key,label,euclidean_distance,cosine_similarity
11,5,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123:1,"NRMs may attract people who are rigid on religious and socio-moral issues, submissive and conformist.",0.5778829624568784,0.8193109493404067
11,6,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on:1,"NRMs-as new, radical, and marginalized groups-are prone to underline the absolute character of their truth, and the non-negotiable character of their ideas, beliefs, and practices.",0.5894590961521173,0.8102665799689044
11,7,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123:1,"NRMs-as new, radical, and marginalized groups-are prone to underline the absolute character of their truth, and the non-negotiable character of their ideas, beliefs, and practices.",0.5894590961521173,0.8102665799689044
11,8,hexham-et-al-2001-new-religious-movements-challenge-and-response:103,"NRMs may challenge, for example, prevailing sociological ideas about secularisation, the dilemmas of the liberal state, the limits of tolerance in democratic societies, the processes of religious conversion, the routinisation of charisma, and so on.",0.5896022770839608,0.8101536872980604
12,1,clarke-2004-encyclopedia-of-new-religious-movements:254,Godianism is a neo-African traditional movement with its Head Office in Nigeria.,0.6100465657548835,0.8010535143005739
12,2,clarke-2004-encyclopedia-of-new-religious-movements:255,Godianism propagates African Traditional Religion,0.6174005355281815,0.7944496647421678
12,3,clarke-2004-encyclopedia-of-new-religious-movements:255,Godianism actively organizes a panAfrican revival of traditional religion and culture,0.632088669935003,0.7810220430478567
12,4,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century:131,"Godianism, founded by Chief K.O.K.Onyioha in Nigeria, as the religious wing of the National Council of Nigeria and the Cameroons.",0.6384483741435569,0.7751100872302645
12,5,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century:118,"the Kenyan neo-traditionalist movement, Mungiki",0.6874684189897777,0.7275558598610826
12,6,clarke-2004-encyclopedia-of-new-religious-movements:499,Godianism,0.6915893760725632,0.7233979020839078
12,7,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:181,Godianism,0.6915893760725632,0.7233979020839078
12,8,clarke-2004-encyclopedia-of-new-religious-movements:254,The leader of Godianism is Chief K.O.K.Onyioha (19232003).,0.6927758555965507,0.7221959823071152
13,1,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate:1,New Religious Movements (NRMs),0.3275808860969887,0.9540683223388113
13,2,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125:1,New Religious Movements (NRMs),0.3275808860969887,0.9540683223388113
13,3,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:82,New Religious Movements (NRMs),0.3275808860969887,0.9540683223388113
13,4,clarke-2004-encyclopedia-of-new-religious-movements:11,New Religious Movements (NRMs),0.3275808860969887,0.9540683223388113
13,5,shingange-2021-african-pentecostal-mission-and-new-religious-movements-a-critica:0,New Religious Movements (NRMs),0.3275808860969887,0.9540683223388113
13,6,clarke-2004-encyclopedia-of-new-religious-movements:266,NRMs (New Religious Movements),0.3611359392094832,0.9400038940542672
13,7,denaux-2002-the-attitude-of-belgian-authorities-toward-new-religious-movements:1,New Religious Movements ('NRMs'),0.3661167811223651,0.9377993476876516
13,8,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:13,New Religions Studies (NRS),0.4765785215041902,0.8811484077272467
14,1,clarke-2004-encyclopedia-of-new-religious-movements:138,Christian Science,0.3681155571805983,0.9387551680561756
14,2,2008-the-oxford-handbook-of-new-religious-movements-1:356,Christian Science,0.3681155571805983,0.9387551680561756
14,3,barker-2020-even-new-religious-movements-have-legacies-2124:11,Christian Science,0.3681155571805983,0.9387551680561756
14,4,melton-2014-encyclopedic-handbook-of-cults-in-america:26,Christian Science,0.3681155571805983,0.9387551680561756
14,5,chryssides-2006-the-a-to-z-of-new-religious-movements:206,Christian Science,0.3681155571805983,0.9387551680561756
14,6,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century:92,Christian Science Church,0.45422780138671004,0.8950025301943261
14,7,clarke-2004-encyclopedia-of-new-religious-movements:138,Christian Science Journal,0.4783725545080442,0.8810902929041267
14,8,melton-2014-encyclopedic-handbook-of-cults-in-america:28,"The Church of Christ, Scientist",0.48661754581599403,0.8761743829316981
15,1,chryssides-2006-the-a-to-z-of-new-religious-movements:217,Satanism,0.5286690265304991,0.858851291700762
15,2,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:63,Satanism,0.5286690265304991,0.858851291700762
15,3,clarke-2004-encyclopedia-of-new-religious-movements:562,Satanism,0.5286690265304991,0.858851291700762
15,4,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:101,Satanic cults,0.5411776488437628,0.8496604548229271
15,5,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:65,Satanic cults,0.5411776488437628,0.8496604548229271
15,6,melton-2014-encyclopedic-handbook-of-cults-in-america:256,Satanic practice,0.5455693915727918,0.8463825596475307
15,7,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:18,Modern religious Satanism,0.5629809519461707,0.8331261574442159
15,8,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:190,Satanic ritual abuse,0.5898020725795354,0.8118912278492204
16,1,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:299,Wicca is a tradition in its own right,0.6113099059411926,0.7982424914737978
16,2,2008-the-oxford-handbook-of-new-religious-movements-1:44,"Witchcraft, or Wicca, is the fastest growing 'religion' in the USA today.",0.6169018101554432,0.7932933798366344
16,3,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:424,Wicca,0.6280416193024686,0.783300223072463
16,4,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:43,Wicca,0.6280416193024686,0.783300223072463
16,5,clarke-2004-encyclopedia-of-new-religious-movements:678,Wicca,0.6280416193024686,0.783300223072463
16,6,2008-the-oxford-handbook-of-new-religious-movements-1:469,Wicca,0.6280416193024686,0.783300223072463
16,7,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:6,Wiccans,0.6301328902010961,0.7814039772802182
16,8,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:68,"Wicca and witchcraft, a growing 'new religion' in its own right",0.6328560188473001,0.7789255287119788
17,1,2008-the-oxford-handbook-of-new-religious-movements-1:370,Sahaja Yoga is an example.,0.5628096385544002,0.8378644668149038
17,2,2008-the-oxford-handbook-of-new-religious-movements-1:361,Sahaja Yoga,0.564810940921707,0.8362542882167411
17,3,chryssides-2006-the-a-to-z-of-new-religious-movements:158,Sahaja Yoga,0.564810940921707,0.8362542882167411
17,4,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:44,Sahaja Yoga,0.564810940921707,0.8362542882167411
17,5,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:238,the Sahaja Yoga movement,0.5734325574971678,0.8292534132058057
17,6,2008-the-oxford-handbook-of-new-religious-movements-1:29,the Ananda Marga Yoga Society,0.6031146725518676,0.8043393101898225
17,7,melton-2014-encyclopedic-handbook-of-cults-in-america:240,Ananda Marga Yoga Society,0.6125887565969984,0.7961221529954989
17,8,gleig-2012-researching-new-religious-movements-from-the-inside-out-and-the-outsi:9,The Integral Yoga movement,0.6350832058402373,0.7760997705507966
18,1,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:131,Mama Ji Sarkar is respected by his devotees as having been a true majzub,0.5924920971364632,0.8159018186812357
18,2,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:136,THE MAJZUB MAMA JI SARKAR,0.6325887214698831,0.7801256161186967
18,3,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:133,"Mama Ji Sarkar sarmast, do sauda dast-ba-dast!",0.6419824142786033,0.7714055201723876
18,4,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:151,This is a quality of a majzub .,0.6501756511959919,0.7636943331478763
18,5,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:145,"Rabi'a could be described, undoubtedly with some distortion, as the mother of a revered 'saint' (sa'in) 4 who was regarded as majzub .",0.6785104458405871,0.7362747606388812
18,6,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:135,muridan muntazim kamiti Mama Ji Sarkar,0.679208927865207,0.7355840153064026
18,7,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:126,a cult centred on devotion to a living majzub,0.6907318235427025,0.7240868809111163
18,8,werbner-and-basu-2002-embodying-charisma-modernity-locality-and-the-performance:138,Mama Ji's body bore the imprint of saintliness,0.692686598389865,0.7221172205226343
19,1,2008-the-oxford-handbook-of-new-religious-movements-1:427,New Age movement,0.48240054011835903,0.8911239967516059
19,2,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:121,the New Age movement,0.48507683256921696,0.8893440014737561
19,3,2008-the-oxford-handbook-of-new-religious-movements-1:87,the New Age Movement,0.49009710474937457,0.8859788761921548
19,4,clarke-2004-encyclopedia-of-new-religious-movements:540,The New Age Movement,0.4979459585946868,0.8806482476005826
19,5,clarke-2004-encyclopedia-of-new-religious-movements:220,New Age,0.516524419893447,0.8676928305784947
19,6,melton-2014-encyclopedic-handbook-of-cults-in-america:119,New Age,0.516524419893447,0.8676928305784947
19,7,hexham-et-al-2001-new-religious-movements-challenge-and-response:70,New Age,0.516524419893447,0.8676928305784947
19,8,kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization:40,New Age,0.516524419893447,0.8676928305784947
20,1,clarke-2004-encyclopedia-of-new-religious-movements:260,"Osho, founder of the Rajneesh Movement",0.5392515656171069,0.8593400729572636
20,2,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:7,the Rajneesh movement,0.5594888249886566,0.8431873088974055
20,3,2008-the-oxford-handbook-of-new-religious-movements-1:15,the Osho Rajneesh group,0.5638469367699052,0.8396309398072135
20,4,clarke-2004-encyclopedia-of-new-religious-movements:411,Rajneesh Movement,0.5749064328307769,0.8304818876804017
20,5,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:205,Rajneesh (Rajneesh or Osho movement),0.575597376113158,0.8299046290479927
20,6,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:88,Rajneesh,0.6114317445537084,0.7990049279735632
20,7,2008-the-oxford-handbook-of-new-religious-movements-1:298,Rajneesh,0.6114317445537084,0.7990049279735632
20,8,clarke-2004-encyclopedia-of-new-religious-movements:378,Rajneesh,0.6114317445537084,0.7990049279735632
21,1,melton-2014-encyclopedic-handbook-of-cults-in-america:114,The Aquarian Conspiracy (1980),0.6517173579658461,0.7631043199639793
21,2,clarke-2004-encyclopedia-of-new-religious-movements:220,The Aquarian Conspiracy: Personal and Social Transformation in the 1980s,0.6737973619340075,0.7415544447923149
21,3,clarke-2004-encyclopedia-of-new-religious-movements:129,The Molecules of Emotion (1998),0.6756439374274286,0.7397197235602704
21,4,clarke-2004-encyclopedia-of-new-religious-movements:251,The Spiral Dance (1989),0.688547661102029,0.7267580170642916
21,5,hexham-et-al-2001-new-religious-movements-challenge-and-response:52,The Power is Within You (1991),0.691373309187784,0.7238868703323795
21,6,clarke-2004-encyclopedia-of-new-religious-movements:199,The Human Process for Enlightenment and Freedom (1972),0.7064252108635719,0.7083956569710701
21,7,hexham-et-al-2001-new-religious-movements-challenge-and-response:52,"How to be Chic, Fabulous and Live Forever (1990)",0.7114350952652903,0.703165519593722
21,8,clarke-2004-encyclopedia-of-new-religious-movements:288,Such titles as How to Become a Millionaire (1992) and Heavenly Power Defeats Illness (1992) are good examples of these tendencies.,0.7181374601406002,0.6961101898730637
22,1,clarke-2004-encyclopedia-of-new-religious-movements:587,"There are around 800,000 followers in total in various countries.",0.585302134709239,0.8203920637138071
22,2,clarke-2004-encyclopedia-of-new-religious-movements:128,"The movement has around 1,500 members and is actively proselytizing.",0.603076349891538,0.8052043590259468
22,3,clarke-2004-encyclopedia-of-new-religious-movements:39,The movement claims to have at the time of writing more than 130 million members worldwide.,0.613638903518059,0.7959643267964092
22,4,clarke-2004-encyclopedia-of-new-religious-movements:448,"New Acropolis is now active in fortytwo countries, with some 20,000 members.",0.6433824359240484,0.7690816989347886
22,5,clarke-2004-encyclopedia-of-new-religious-movements:337,"It claims to have some 15 million followers worldwide, although this is unproven.",0.6706026169784846,0.7433653624932048
22,6,clarke-2004-encyclopedia-of-new-religious-movements:38,"Agonshu now has a modest following of between one hundred and one thousand members in several countries of the Far East, Asia, and Africa.",0.6755146731368266,0.7386110498708895
22,7,clarke-2004-encyclopedia-of-new-religious-movements:191,"Eckankar claims to have tens of thousands of members worldwide, many of whom also continue to be members of other religions.",0.6805419258808094,0.7337092937665511
22,8,chryssides-2006-the-a-to-z-of-new-religious-movements:40,"In 2001 between 1,000 and 1,600 members remain.",0.6998085248301814,0.7145879800175124
23,1,clarke-2004-encyclopedia-of-new-religious-movements:547,Sathya Sai Baba,0.5723872787868973,0.8327809925276972
23,2,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate:4,Sathya Sai Baba,0.5723872787868973,0.8327809925276972
23,3,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125:4,Sathya Sai Baba,0.5723872787868973,0.8327809925276972
23,4,chryssides-2006-the-a-to-z-of-new-religious-movements:161,Satya Sai Baba,0.5853489053617448,0.8218648279508622
23,5,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:235,"Sathya Sai Baba, god-man, guru, mystic, saint",0.5940313177332109,0.8144160774972278
23,6,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125:2,Sathya Sai Baba's followers as devotees,0.6274979560767184,0.7846782021611558
23,7,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements:237,"Sathya Sai Baba is called Bhagawan (God) by devotees, or, fondly, Baba or Swami (Lord).",0.6379155375431553,0.7750889943240149
23,8,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125:7,"Sathya Sai Baba, whose formulation they are, was nurtured in a Hindu environment.",0.6384731472928816,0.7745712197328051
24,1,clarke-2004-encyclopedia-of-new-religious-movements:428,the Muslim Brotherhood,0.6296648510328483,0.790456289982426
