entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
pagan,pagan,31,0.6786730992570174,0.7344826551764333
pagans,pagans,31,0.7142042272161118,0.7004272902911606
the lord of the rings,the lord of the rings,2,0.7231258093880466,0.7046025006040992
stranger in a strange land,stranger in a strange land,35,0.73969824376533,0.6729395365244482
church of all worlds,church of all worlds,32,0.6323643444986115,0.7772059020387271
druid,druid,35,0.8255025772230354,0.5729993923075999
buffy the vampire slayer,buffy the vampire slayer,37,0.8466224597950313,0.5664457263486531
the craft,the craft,37,0.6354460503328957,0.7722353841489111
star wars,star wars,2,0.7934892661752595,0.6413683288209964
eastern,eastern,37,0.7725172263833863,0.6453399577916382
judeo-christian,judeo-christian,24,0.7365262707259262,0.6771977647769014
pagan federation,pagan federation,31,0.6988669422033916,0.7153406436191809
internet,internet,35,0.7325257191175216,0.68079753036612
lorne dawson,lorne dawson,35,0.869389083462235,0.5176468968360123
the new age,the new age,19,0.5794369411768462,0.8202964700797122
religion,religion,39,0.7222606264082644,0.6919336771005293
cult formation,cult formation,52,0.6345903050531075,0.7728547800020846
magic,magic,35,0.7986265139322923,0.6054817662489024
spirituality,spirituality,34,0.6837731857821187,0.7311065108838887
bank of credit and commerce international,bank of credit and commerce international,36,0.7999035143462212,0.6048009308384854
the future of religion,the future of religion,39,0.6743918172331674,0.7388349058263403
journal of contemporary religion,journal of contemporary religion,39,0.6892526839651363,0.7246185982707876
foreword,foreword,35,0.7602655953003683,0.6499824943351613
religion today,religion today,32,0.7220901075185687,0.6921589125778985
in gods we trust,in gods we trust,35,0.7344759121683899,0.6786683727534985
new patterns of religious pluralism in america,new patterns of religious pluralism in america,39,0.6756298260201824,0.7376626224486552
t. robbins,t. robbins,35,0.8820827644085406,0.5011025429152052
cassell,cassell,35,0.8915309914183671,0.48863254320828253
jesus in disneyland,jesus in disneyland,32,0.8055394586221897,0.602947737724882
amsterdam,amsterdam,36,0.8204119084507482,0.580360897927515
sutcliffe,sutcliffe,25,0.8729830835340887,0.5012619684000228
bowman,bowman,25,0.8769398668587565,0.4956487372560674
journal for the scientific study of religion,journal for the scientific study of religion,14,0.7213128856514495,0.7010158947844365
united states,united states,36,0.7673985947309179,0.6422695123476034
esp,esp,25,0.8360088636176306,0.552480042742159
london,london,36,0.8060313108185767,0.5975630806397505
routledge,routledge,35,0.7238854408240536,0.6901617578795649
karma,karma,35,0.7989490613133544,0.6050982873498574
sociology,sociology,34,0.7694268285931426,0.640342585841466
new testament,new testament,2,0.7450676237744305,0.6855132672327913
james t. richardson,james t. richardson,35,0.9014606552442098,0.47538403901571513
hammond,hammond,35,0.8733318675787731,0.5125337088539899
campbell,campbell,35,0.8511745630365976,0.5409682325249106
aldershot,aldershot,35,0.8844817156004136,0.4979489563642956
ashgate,ashgate,25,0.8683605113987768,0.5077862363511125
new york,new york,37,0.8195613622045733,0.5960923727257701
charlene spretnak,charlene spretnak,35,0.8533726367752397,0.5381795437638619
