concept_id,concept_en,gloss_en,combined_score,specificity,total_weight,total_degree,n_seed_connections,n_edges,seed_terms,relations,is_generic
cn_0109,orphanage,the condition of being a child without living parents,2.0588,0.4118,7.0,17.0,5,5,charity;child;condition;institution;organization,AtLocation;IsA,true
cn_0110,reasonable,showing reason or sound judgment,2.0455,0.4091,18.0,44.0,5,11,fair;logical;moderate;rational;strong,SimilarTo;Synonym,true
cn_0111,air,a distinctive but intangible quality surrounding a person or thing,2.0432,0.1362,39.039,286.606,15,23,appearance;aspect;atmosphere;element;gas;house;living;magic;manner;medium,AtLocation;Desires;HasA;HasPrerequisite;IsA;Synonym,true
cn_0112,illusion,an erroneous mental representation,2.0408,0.2551,12.5,49.0,8,9,appearance;company;delusion;failure;freedom;magic;security;self,CapableOf;IsA;PartOf;Synonym,true
cn_0113,sell,the activity of persuading someone to buy,2.012,0.2236,20.0,89.464,9,12,clear;deal;exchange;give;house;money;move;sacrifice;trade,Entails;MannerOf;MotivatedByGoal;Synonym;UsedFor,true
cn_0114,right wing,those who support political or social or economic conservatism; those who believe that things are better left unchanged,2.0,0.5,10.0,20.0,4,7,conservative;fundamentalist;right;wing,HasProperty;IsA;SimilarTo;Synonym,true
cn_0115,enlightened,people who have been introduced to the mysteries of some field or activity,2.0,0.5,9.0,18.0,4,5,educated;informed;initiate;teacher,HasProperty;SimilarTo;Synonym,true
cn_0116,adjudicator,a person who studies and settles conflicts and disputes,2.0,0.5,8.0,16.0,4,5,court;judge;official;person,IsA,true
cn_0117,antagonism,the relation between opposing principles or forces or factors,2.0,0.6667,8.0,12.0,3,5,conflict;hostility;opposition,IsA;Synonym,true
cn_0118,banner,a newspaper headline that runs across the full page,2.0,0.6667,8.0,12.0,3,4,flag;standard;superior,IsA;SimilarTo;Synonym,true
cn_0119,collectivization,the organization of a nation or economy on the basis of collectivism,2.0,0.6667,4.0,6.0,3,3,constitution;founding;organization,IsA,true
cn_0120,crusade,a series of actions advancing a principle or tending toward a particular end,2.0,0.5,11.0,22.0,4,6,campaign;fight;press;project,IsA;MannerOf;Synonym,true
cn_0121,debit,an accounting entry acknowledging sums that are owing,2.0,0.6667,6.0,9.0,3,3,account;charge;entry,IsA;MannerOf,true
cn_0122,knowledge domain,the content of a particular field of knowledge,2.0,0.6667,8.0,12.0,3,4,content;discipline;domain,IsA;Synonym,true
cn_0123,inclusion,the state of being included,2.0,0.5,8.0,16.0,4,4,embrace;increase;involvement;situation,IsA,true
cn_0124,physical phenomenon,a natural phenomenon involving the physical properties of matter and energy,2.0,0.25,18.0,72.0,8,9,energy;event;field;force;interaction;power;pressure;sound,IsA,true
cn_0125,eruditeness,profound scholarly knowledge,2.0,0.5,8.0,16.0,4,4,education;learning;letters;scholarship,IsA;Synonym,true
cn_0126,keynote,the principal theme in a speech or literary work,2.0,0.5,8.0,16.0,4,4,address;idea;set;subject,IsA;MannerOf,true
cn_0127,contention,a point asserted as part of an argument,2.0,0.5,6.0,12.0,4,4,controversy;struggle;submission;war,IsA;Synonym,true
cn_0128,substantive,any word or group of words functioning as a noun,2.0,0.5,10.0,20.0,4,5,essential;meaningful;substantial;word,IsA;SimilarTo;Synonym,true
cn_0129,walloon,a member of the French-speaking people living in Belgium,2.0,0.6667,4.0,6.0,3,3,european;french;human,IsA,true
cn_0130,big,above average in size or number or quantity or magnitude or extent,1.9688,0.2812,18.0,64.0,7,12,adult;bad;gas;important;large;moon;senior,HasProperty;SimilarTo;Synonym,true
cn_0131,confidence,freedom from doubt; belief in yourself and your abilities,1.9355,0.3226,10.0,31.0,6,7,attitude;person;secret;security;shared;trust,Desires;IsA;ReceivesAction;Synonym,true
cn_0132,utopia,a book written by Sir Thomas More (1516) describing the perfect society on an imaginary island,1.8966,0.3793,11.0,29.0,5,7,book;community;fiction;place;state,CreatedBy;IsA;MadeOf,true
cn_0133,talking,an exchange of ideas via conversation,1.8948,0.1458,26.0,178.383,13,18,communication;conversation;council;debate;language;revelation;sound;speaking;speech;talk,Causes;HasPrerequisite;HasSubevent;IsA;Synonym;UsedFor,true
cn_0134,coding system,a system of signals used to represent letters or numbers in transmitting messages,1.8947,0.4737,9.0,19.0,4,6,code;information;language;writing,IsA,true
cn_0135,approaching,the temporal property of becoming nearer in time,1.8947,0.6316,12.0,19.0,3,6,approach;coming;future,SimilarTo;Synonym,true
cn_0136,mystery,something that baffles understanding and cannot be explained,1.886,0.2694,11.0,40.828,7,9,death;live;moon;person;secret;story;time,Desires;IsA;Synonym;UsedFor,true
cn_0137,volunteer,a native or resident of Tennessee,1.8817,0.3136,15.0,47.828,6,8,act;help;offer;person;voluntary;work,HasPrerequisite;IsA;MannerOf;SimilarTo;Synonym,true
cn_0138,newsroom,the staff of a newspaper or the news department of a periodical,1.875,0.625,5.0,8.0,3,3,office;room;staff,IsA,true
cn_0139,recitation,written matter that is recited from memory,1.8667,0.4667,7.0,15.0,4,4,class;exercise;matter;reading,IsA;Synonym,true
cn_0140,wickedness,morally objectionable behavior,1.8667,0.4667,7.0,15.0,4,5,evil;ill;illness;sin,Synonym,true
cn_0141,round,(often plural) a series of professional calls (usually in a set order),1.8581,0.1429,39.483,276.244,13,14,attack;call;circle;complete;cycle;earth;form;gain;path;sphere,DefinedAs;HasProperty;IsA;MannerOf;Synonym,true
cn_0142,footprint,a mark of a foot or shoe on a surface,1.8499,0.4625,9.464,20.464,4,4,area;mark;moon;step,AtLocation;IsA;Synonym,true
cn_0143,nationality,people having common origins or traditions and often comprising a nation,1.8462,0.4615,6.0,13.0,4,4,affiliation;nationalism;people;status,IsA;Synonym,true
