concept_id,concept_en,gloss_en,total_mentions,literature_mentions,miviludes_mentions,interviews_mentions,n_corpora,is_generic
sc_0111,person,"a human being; person, singular, assertive existential pronoun; pronoun, person, singular; quantifier: assertive existential",218,213,2,3,3,true
sc_0112,common,belonging to or participated in by a community as a whole; public,213,213,0,0,1,true
sc_0113,little,limited or below average in number or quantity or magnitude or extent,212,208,0,4,2,true
sc_0114,evidence,your basis for belief or disbelief; knowledge on which to base belief,212,211,1,0,2,true
sc_0115,spirit,the vital principle or animating force within living things,212,211,0,1,2,true
sc_0116,commitment,the trait of sincere and steadfast fixity of purpose,211,210,0,1,2,true
sc_0117,negative,a reply of denial,211,207,1,3,3,true
sc_0118,specific,a fact about some part (as opposed to general),209,204,3,2,3,true
sc_0119,relationship,"a relation between people; (‘relationship’ is often used where ‘relation’ would serve, as in ‘the relationship between inflation and unemployment’, but the preferred usage of ‘relationship’ is for human relations or states of relatedness)",207,205,2,0,2,true
sc_0120,likely,has a good chance of being the case or of coming about,205,205,0,0,1,true
sc_0121,support,the activity of providing for or maintaining by supplying with money or necessities,204,204,0,0,1,true
sc_0122,long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,204,201,3,0,2,true
sc_0123,violent,acting with or marked by or resulting from great force or energy or emotional intensity,204,200,4,0,2,true
sc_0124,model,a hypothetical description of a complex entity or process,204,204,0,0,1,true
sc_0125,approach,ideas or actions intended to deal with a problem or situation,201,200,1,0,2,true
sc_0126,development,act of improving by expanding or enlarging or refining,201,200,1,0,2,true
sc_0127,contemporary,a person of nearly the same age as another,201,200,1,0,2,true
sc_0128,sacred,concerned with religion or religious purposes,200,199,0,1,2,true
sc_0129,strong,having strength or power greater than average or expected,200,198,1,1,3,true
sc_0130,united,characterized by unity; being or joined into a single entity,200,200,0,0,1,true
sc_0131,christianity,a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior,200,200,0,0,1,true
sc_0132,mass,(Roman Catholic Church and Protestant Churches) the celebration of the Eucharist,199,199,0,0,1,true
sc_0133,take,the income or profit arising from such transactions as the sale of land or other property,198,197,0,1,2,true
sc_0134,understanding,the cognitive condition of someone who understands,198,198,0,0,1,true
sc_0135,involved,connected by participation or association or use,197,197,0,0,1,true
sc_0136,abuse,cruel or inhumane treatment,196,195,0,1,2,true
sc_0137,islam,the civilization of Muslims collectively which is governed by the Muslim religion,196,196,0,0,1,true
sc_0138,conflict,an open clash between two opposing groups (or individuals),195,195,0,0,1,true
sc_0139,spirituality,property or income owned by a church,195,192,1,2,3,true
sc_0140,significant,important in effect or meaning,194,193,0,1,2,true
sc_0141,mission,an organization of missionaries in a foreign land sent to carry on religious work,194,191,2,1,3,true
sc_0142,behavior,manner of acting or controlling yourself,194,193,0,1,2,true
sc_0143,theory,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena,194,193,0,1,2,true
sc_0144,large,a garment size for a large person,191,187,3,1,3,true
sc_0145,right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature,191,189,0,2,2,true
sc_0146,african,a native or inhabitant of Africa,191,191,0,0,1,true
sc_0147,claim,an assertion of a right (as to money or property),190,190,0,0,1,true
sc_0148,national,a person who owes allegiance to that nation,188,186,2,0,2,true
sc_0149,men,the force of workers available,188,185,3,0,2,true
sc_0150,apocalyptic,of or relating to an apocalypse,187,187,0,0,1,true
sc_0151,member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),187,187,0,0,1,true
sc_0152,good,benefit,187,186,0,1,2,true
sc_0153,moral,the significance of a story or event,186,184,1,1,3,true
sc_0154,body,a group of persons associated by some common tie or occupation and regarded as an entity,185,185,0,0,1,true
sc_0155,point,a geometric element that has position but no extension,185,183,0,2,2,true
sc_0156,potential,the inherent capacity for coming into being,184,184,0,0,1,true
sc_0157,concept,an abstract or general idea inferred or derived from specific instances,184,181,2,1,3,true
sc_0158,international,any of several international socialist organizations,184,183,1,0,2,true
sc_0159,living,the experience of being alive; the course of human events and activities,184,184,0,0,1,true
sc_0160,least,something that is of no importance,183,182,0,1,2,true
sc_0161,lives,a characteristic state or mode of living,182,181,1,0,2,true
sc_0162,reality,all of your experiences that determine how things appear to you,182,180,0,2,2,true
sc_0163,outside,relating to or being on or near the outer side or limit,181,179,0,2,2,true
sc_0164,context,discourse that surrounds a language unit and helps to determine its interpretation,181,179,1,1,3,true
sc_0165,knowledge,the psychological result of perception and learning and reasoning,181,177,2,2,3,true
sc_0166,local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,181,180,0,1,2,true
sc_0167,earth,the concerns of this life as distinguished from heaven and the afterlife,181,181,0,0,1,true
sc_0168,aum,a terrorist organization whose goal is to take over Japan and then the world; based on a religion founded in 1987 that combines elements of Buddhism with Christianity,180,180,0,0,1,true
sc_0169,charisma,a personal attractiveness or interestingness that enables you to influence others,180,180,0,0,1,true
sc_0170,physical,involving the body as distinguished from the mind or spirit,179,176,3,0,2,true
sc_0171,mainstream,the prevailing current of thought,179,179,0,0,1,true
sc_0172,founder,inflammation of the laminated tissue that attaches the hoof to the foot of a horse,179,178,0,1,2,true
sc_0173,gender,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,178,178,0,0,1,true
sc_0174,structure,the manner of construction of something and the arrangement of its parts,177,177,0,0,1,true
sc_0175,mental,involving the mind or an intellectual process,177,170,7,0,2,true
sc_0176,catholic,a member of a Catholic church,177,175,0,2,2,true
sc_0177,holy,belonging to or derived from or associated with a divine power,176,176,0,0,1,true
sc_0178,radical,a person who has radical ideas or opinions,175,174,1,0,2,true
sc_0179,central,in or near a center or constituting a center; the inner area,175,172,1,2,3,true
sc_0180,internal,happening or arising or located within some limits or especially surface,172,172,0,0,1,true
sc_0181,elements,violent or severe weather (viewed as caused by the action of the four elements),171,171,0,0,1,true
sc_0182,war,a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply,171,170,0,1,2,true
sc_0183,left,those who support varying degrees of social or political or economic change designed to promote the public welfare,171,171,0,0,1,true
