rank,entity,total_mentions,literature,miviludes,interviews
502,buddhists,11,11,0,0
503,pagans,11,11,0,0
504,routledge,11,11,0,0
505,durkheim,11,11,0,0
506,shambhala,11,11,0,0
507,e-meter,11,11,0,0
508,new york times,11,11,0,0
509,exodus,11,11,0,0
510,cult awareness network (can),11,11,0,0
511,black mass,11,11,0,0
512,nazism,11,11,0,0
513,yoga,11,11,0,0
514,west,11,11,0,0
515,martin,11,11,0,0
516,cult controversies,11,11,0,0
517,love family,11,11,0,0
518,unificationists,11,11,0,0
519,world wide web,11,11,0,0
520,mau mau,11,11,0,0
521,xenu,11,11,0,0
522,set,11,11,0,0
523,msia,11,11,0,0
524,quebec,11,11,0,0
525,wright,11,11,0,0
526,vedanta,11,11,0,0
527,ufo,11,11,0,0
528,mormon church,11,11,0,0
529,freemasons,11,10,0,1
530,a course in miracles,11,11,0,0
531,gnosticism,11,11,0,0
532,thomas,11,11,0,0
533,internal revenue service,11,11,0,0
534,transit,11,11,0,0
535,mahikari,11,11,0,0
536,cambridge university press,11,11,0,0
537,university of california press,11,11,0,0
538,ananda marga,11,11,0,0
539,virgin mary,11,11,0,0
540,adolf hitler,11,11,0,0
541,anti-semitism,11,11,0,0
542,sikh dharma,11,11,0,0
543,j. z. knight,11,11,0,0
544,nostradamus,11,11,0,0
545,pentecostals,11,11,0,0
546,yogananda,11,11,0,0
547,seth,11,11,0,0
548,muktananda,11,11,0,0
549,britain,11,11,0,0
550,plymouth brethren,11,11,0,0
551,theravada,11,11,0,0
552,american nazi party,11,11,0,0
553,kardecism,11,11,0,0
554,new apostolic church,11,11,0,0
555,self,11,11,0,0
556,joseph,11,11,0,0
557,farrakhan,11,11,0,0
558,sayyid qutb,11,11,0,0
559,goddess feminists,11,11,0,0
560,godianism,11,11,0,0
561,christian churches,11,11,0,0
562,anglican,11,11,0,0
563,sayyid,11,11,0,0
564,south africa,11,11,0,0
565,esalen,11,11,0,0
566,church of christ,11,11,0,0
567,smith,11,11,0,0
568,ra ë lian,11,11,0,0
569,john paul ii,11,11,0,0
570,neo-nazi,11,11,0,0
571,elves,11,11,0,0
572,james stephen,11,11,0,0
573,william wilberforce,11,11,0,0
574,henry v enn,11,11,0,0
575,east india company,11,11,0,0
576,rabi'a,11,11,0,0
577,neo-pagans,10,10,0,0
578,encyclopedia of american religions,10,10,0,0
579,charisma,10,10,0,0
580,satanic ritual abuse,10,10,0,0
581,movement of spiritual inner awareness,10,10,0,0
582,society for the scientific study of religion,10,10,0,0
583,ofshe,10,10,0,0
584,eastern,10,10,0,0
585,heelas,10,10,0,0
586,theosophists,10,10,0,0
587,anthroposophical society,10,10,0,0
588,rastafarians,10,10,0,0
589,james,10,10,0,0
590,freemasonry,10,10,0,0
591,vietnam,10,10,0,0
592,susan palmer,10,10,0,0
593,oklahoma city bombing,10,10,0,0
594,timothy mcveigh,10,10,0,0
595,jones,10,10,0,0
596,london school of economics,10,10,0,0
597,abraham,10,10,0,0
598,turner,10,10,0,0
599,rev. moon,10,10,0,0
600,william,10,10,0,0
601,robert,10,10,0,0
602,marxism,10,10,0,0
603,ssehv,10,10,0,0
604,united nations,10,10,0,0
605,amway,10,10,0,0
606,aids,10,10,0,0
607,jesus fellowship,10,10,0,0
608,satanic groups,10,10,0,0
609,swami prabhupada,10,10,0,0
610,edgar cayce,10,10,0,0
611,summit lighthouse,10,10,0,0
612,revelation,10,10,0,0
613,madame blavatsky,10,10,0,0
614,christ apostolic church,10,10,0,0
615,raja yoga,10,10,0,0
616,mother meera,10,10,0,0
617,chaitanya,10,10,0,0
618,pentecostalist,10,10,0,0
619,upanishads,10,10,0,0
620,mo letters,10,10,0,0
621,father divine,10,10,0,0
622,fraternity of the inner light,10,10,0,0
623,shirdi sai baba,10,10,0,0
624,house church movement,10,10,0,0
625,the,10,10,0,0
626,nipponzan myohoji,10,10,0,0
627,vivekananda,10,10,0,0
628,mount carmel center,10,10,0,0
629,center,10,10,0,0
630,agonshu,10,10,0,0
631,new religion (japan),10,10,0,0
632,wolof,10,10,0,0
633,baptist,10,10,0,0
634,pope john paul ii,10,10,0,0
635,gospel,10,10,0,0
636,spain,10,10,0,0
637,eastern europe,10,10,0,0
638,rome,10,10,0,0
639,rpf,10,10,0,0
640,russian orthodox church,10,8,0,2
641,soviet,10,10,0,0
642,sant'egidio,10,10,0,0
643,wuns,10,10,0,0
644,counter-cult groups,10,10,0,0
645,george stephen,10,10,0,0
646,john newton,10,10,0,0
647,henry,10,10,0,0
648,témoins de jéhovah,9,1,7,1
649,middle east,9,8,0,1
650,illuminati,7,5,0,2
651,psnc,7,0,7,0
652,the moonies,6,5,0,1
653,cnom,6,0,6,0
654,palestine,5,4,0,1
655,ethiopia,5,4,0,1
656,western culture,5,4,0,1
657,dgccrf,5,0,5,0
658,lebanon,4,3,0,1
659,ordre du temple solaire,4,2,1,1
660,zionist,4,3,0,1
661,masons,4,3,0,1
662,tom cruise,4,3,0,1
663,ehesp,4,0,4,0
664,caffes,4,0,4,0
665,la miviludes,4,0,4,0
666,toujours renouvelées,4,0,4,0
667,les dérives sectaires,4,0,4,0
668,oms,4,0,4,0
669,dnrt,4,0,4,0
670,the hare krishnas,3,2,0,1
671,sunna,3,2,0,1
672,ministère de l'éducation nationale,3,0,3,0
673,procureurs de la république,3,0,3,0
674,stratégie nationale de lutte contre les dérives sectaires,3,0,3,0
675,cnef,3,0,3,0
676,église de l'unification,3,0,3,0
677,dérives sectaires,3,0,3,0
678,ciase,3,0,3,0
679,crr,3,0,3,0
680,clir,3,0,3,0
681,rgpd,3,0,3,0
682,effet barnum,3,0,3,0
683,steiner-waldorf,3,0,3,0
684,cnrs,3,0,3,0
685,la scientologie,3,0,1,2
686,caimades,3,0,3,0
687,phénomène d'emprise mentale,3,0,3,0
688,ia,3,0,3,0
689,netflix,3,0,0,3
690,la luz del mundo,2,1,0,1
691,buddhas,2,1,0,1
692,syrian,2,1,0,1
693,luz del mundo,2,1,0,1
694,guadalajara,2,1,0,1
695,new wave,2,1,0,1
696,westboro baptist church,2,1,0,1
697,american horror story,2,1,0,1
698,druze,2,1,0,1
699,protestant church,2,1,0,1
700,ai cult,2,0,0,2
701,blue öyster cult,2,0,0,2
702,raëlism,2,0,0,2
703,tomato cult,1,0,0,1
704,facebook group page,1,0,0,1
705,missbrauch,1,0,0,1
706,wild wild country,1,0,0,1
707,los del mundo,1,0,0,1
708,the manson family,1,0,0,1
709,richard branson,1,0,0,1
710,christian songs,1,0,0,1
711,jesuses,1,0,0,1
712,muhammads,1,0,0,1
713,andrei kuraev,1,0,0,1
714,bike polo,1,0,0,1
715,selbstverständlichkeit,1,0,0,1
716,the new jesus something,1,0,0,1
717,the new garden,1,0,0,1
718,the new jesus,1,0,0,1
719,human design,1,0,0,1
720,kult,1,0,0,1
